id,airport_ref,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,le_latitude_deg,le_longitude_deg,le_elevation_ft,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft
267186,16690,CD65,100,100,TURF,0,0,H1,,,,,,,,,,240.9,
267187,16691,CD66,100,100,GRAVEL,0,0,H1,,,,,,,,,,197.5,
267188,16692,CD68,100,100,TURF,0,0,H1,,,,,,,,,,281.1,45
253946,16693,CD69,4400,80,TURF,0,0,16,,,,,,34,,,,,
267189,16694,CD70,100,100,TURF,0,0,H1,,,,,,,,,,199.3,
270824,45962,CD71,500,100,TURF,0,0,H1,,,,,,,,,,,
267190,16695,CD72,100,100,TURF,0,0,H1,,,,,,,,,,269,
267191,16696,CCV4,100,100,TURF,0,0,H1,,,,,,,,,,355.5,
267192,16697,CD75,100,100,TURF,0,0,H1,,,,,,,,,,202.7,
267193,16698,CD77,100,100,TURF,0,0,H1,,,,,,,,,,241.7,
267194,16699,CD78,100,100,TURF,0,0,H1,,,,,,,,,,26W,
267195,16700,CD79,100,100,TURF,0,0,H1,,,,,,,,,,349,
267196,16701,CD80,100,100,ASPH,0,0,H1,,,,,,,,,,209,
267197,16702,CD81,100,100,TURF,0,0,H1,,,,,,,,,,290.6,
254182,16703,CD82,3515,150,TURF,0,0,17,,,,,,35,,,,,
257734,16704,CD97,1375,60,TURF,0,0,16,,,,,,34,,,,,
252038,16705,CD99,1800,50,TURF-F,0,0,17,,,,,,35,,,,,
234665,799,CDA4,3000,75,ASP,1,0,12,47.717499,-64.888298,68,105,,30,47.715302,-64.876602,68,285,
234492,800,CDA5,3000,75,ASP,1,0,18,47.77750015,-59.31499863,65,160.2,,36,47.7696991,-59.31079865,23,340.2,
251526,801,CDA6,1660,50,TURF,0,0,11,,,,,,29,,,,,
527218,805,CDC3,2000,,Turf,0,0,7,,,,,,25,,,,,
253856,806,CDC4,3000,100,GRAVEL/TURF,0,0,11,,,,,,29,,,,,
267198,16706,CDD,8000,1000,WATER,0,0,07W,,,,,,25W,,,,,
267199,16706,CDD,7000,1000,WATER,0,0,178,,,,,,358,,,,,
255280,807,CDD3,1800,40,GRAVEL,0,0,7,,,,,,25,,,,,
562375,562374,CDD7,86,86,CON,0,0,H,,,,,,,,,,,
267200,16707,CDE,70,70,WOOD,0,0,H1,,,34,,,,,,,223.3,155
508587,508586,CDF7,18,18,GRS,0,0,H1,,,,,,,,,,,
247740,811,CDH3,1500,70,TURF,0,0,16,,,,,,34,,,,,
235040,812,CDJ4,3979,60,ASP,0,0,14,46.71559906,-66.83550262,1300,116,,32,46.71089935,-66.82119751,1300,296,
332274,43879,CDL7,7894,246,ICE,1,0,17,,,,,,35,,,,,
325214,320210,CDL8,1800,60,Turf,0,0,12,,,,,,30,,,,,
562383,562382,CDM3,1889,80,GRS,0,0,6,,,,,,24,,,,,
576059,576053,CDM4,40,40,CON,0,0,H,,,,,,,,,,,
257455,816,CDO2,2400,75,TURF,0,0,12,,,,,,30,,,,,
234442,818,CDT5,5024,74,ASP,0,0,9,46.50740051,-64.70330048,57,73.1,,27,46.51139832,-64.68430328,25,253.1,
234443,821,CDU6,3996,50,ASP,0,0,11,46.55289841,-66.10179901,315,95,,29,46.55199814,-66.08599854,2Q5,275,
508576,508575,CDU8,80,80,CON,0,0,H1,,,,,,,,,,,
234444,823,CDV2,4003,47,ASP,0,0,5,47.74890137,-67.43029785,857,31.9,,23,47.7582016,-67.42169952,883,211.9,
234725,7Q7,CDY3,3000,75,ASP,1,0,10,49.656799,-54.243801,76,81,,28,49.6581,-54.231201,74,1U1,
271052,829,CDY6,1728,30,Gravel/Asphalt mix,0,0,15,,,,,,33,,,,,
234448,830,CEA3,1800,50,GRS,0,0,4,51.70940018,-114.1149979,,59.2,,22,51.7118988,-114.1080017,,239.2,
234449,830,CEA3,3650,75,ASP,1,0,10,51.71360016,-114.1139984,,116.3,,28,51.70894623,-114.0989304,,296.3,
234499,831,CEA5,3000,75,ASP,1,0,7,52.64690018,-111.3909988,,90,,25,52.64690018,-111.3779984,,270,
234491,832,CEA6,3500,75,ASP,1,0,5,49.16030121,-113.2470016,,63,,23,49.16469955,-113.2340012,,243,
260312,834,CEB5,,,UNK,0,1,3,,,2166,,,21,,,2166,,
234649,834,CEB5,3506,75,ASP,1,0,4,56.078899,-118.442001,,59,,22,56.0839,-118.427002,,239,
271101,43876,CEB8,2025,100,TURF,0,0,10,,,,92,,28,,,,272,
257461,835,CEC3,3500,100,SAND/GRAVEL,0,0,8,,,,,,26,,,,,
234713,836,CEC4,4300,100,ASP,1,0,2,53.31439972,-117.7590027,4025,39,,20,53.32389832,-117.7470016,4006,219,300
235001,7R9,CED3,2200,75,SAN,0,0,4,,,,60.6,,22,,,,240.6,
235002,7R9,CED3,3000,75,ASP,1,0,14,51.33810043,-110.4940033,,160.6,,32,51.33060074,-110.4889984,,340.6,
253821,840,CED4,2950,75,ASPHALT,0,0,10,,,2842,,,28,,,2842,,
234714,841,CED5,3000,75,ASP,1,0,5,49.8246994,-112.1910019,,64,,23,49.82830048,-112.1790009,,1S4,
234715,841,CED5,2000,75,ASP,0,0,13,49.82939911,-112.185997,,149,,31,49.8246994,-112.1819992,,329,
254544,842,CED6,2350,75,GRAVEL,0,0,16,,,,,,34,,,,,
311597,311595,CED8,1900,50,turf,0,0,4,,,,42,,22,,,,222,
257464,7S3,CEE4,3700,150,TURF,0,0,4,,,,,,22,,,,,
234902,844,CEE5,3544,100,ASP,1,0,7,55.96170044,-113.8280029,,88.4,,25,55.9618988,-113.8099976,,268.4,
252308,845,CEE6,2900,100,TURF,0,0,6,,,,,,24,,,,,
253863,846,CEE8,2950,75,ASPHALT,0,0,13,,,,,,31,,,,,
271079,46603,CEF2,2000,60,TURF,0,0,5,,,,,,23,,,,,
234720,847,CEF3,3000,75,ASP,1,0,5,49.88169861,-111.3389969,,66,,23,49.88499832,-111.3270035,,246,
